Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes,Estimated_Cost,Band,Anomaly_Flag
Creative,Studio Artist,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Studio Manager,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Creative,Studio Manager,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Studio Manager,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,Studio Manager,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,Studio Manager,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,Studio Manager,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match,246.81,O,
Creative,Studio Manager,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match,329.79,O,
Creative,Studio Manager,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match,51.91,M,
Creative,Studio Manager,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,Studio Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Studio Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Studio Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Studio Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,UX Lead,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Creative,UX Lead,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,UX Lead,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,UX Lead,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,UX Lead,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,UX Lead,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match,246.81,O,
Creative,UX Lead,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match,329.79,O,
Creative,UX Lead,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match,51.91,M,
Creative,UX Lead,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,UX Lead,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,UX Lead,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,UX Lead,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,UX Lead,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,UX Writer,FTE,Hour,UK-LON,80.0,80.0,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,UX Writer,FTE,Hour,EU-ES,80.0,80.0,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Creative,UX Writer,FTE,Hour,EU-FR,115.0,115.0,EUR,OP_Content Lab,Exact Rate Match,48.94,M,
Creative,UX Writer,FTE,Hour,EU-DE,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,UX Writer,FTE,Hour,EU-IT,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,UX Writer,FTE,Hour,LATAM-BR,420.0,420.0,BRL,OP_Content Lab,Exact Rate Match,178.72,O,
Creative,UX Writer,FTE,Hour,APAC-CN,630.0,630.0,CNY,OP_Content Lab,Exact Rate Match,268.09,O,
Creative,UX Writer,FTE,Hour,NA-CA,118.0,118.0,CAD,OP_Content Lab,Exact Rate Match,50.21,M,
Creative,UX Writer,FTE,Hour,EU-CH,120.0,120.0,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,UX Writer,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,UX Writer,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,UX Writer,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,UX Writer,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Creative,Web Designer,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Creative,Web Designer,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Creative,Web Designer,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,Web Designer,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,Web Designer,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Creative,Web Designer,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match,246.81,O,
Creative,Web Designer,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match,329.79,O,
Creative,Web Designer,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match,51.91,M,
Creative,Web Designer,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Creative,Web Designer,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Creative,Web Designer,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Creative,Web Designer,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Creative,Web Designer,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,CRM/Data Analyst,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Database,CRM/Data Analyst,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match,31.91,K,
Database,CRM/Data Analyst,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Database,CRM/Data Analyst,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match,40.43,L,
Database,CRM/Data Analyst,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match,38.3,L,
Database,CRM/Data Analyst,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match,159.57,O,
Database,CRM/Data Analyst,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match,217.02,O,
Database,CRM/Data Analyst,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match,40.43,L,
Database,CRM/Data Analyst,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Database,CRM/Data Analyst,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,CRM/Data Analyst,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,CRM/Data Analyst,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,CRM/Data Analyst,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Data Analyst,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Database,Data Analyst,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match,31.91,K,
Database,Data Analyst,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Database,Data Analyst,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match,40.43,L,
Database,Data Analyst,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match,38.3,L,
Database,Data Analyst,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match,159.57,O,
Database,Data Analyst,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match,217.02,O,
Database,Data Analyst,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match,40.43,L,
Database,Data Analyst,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Database,Data Analyst,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Data Analyst,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Data Analyst,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Data Analyst,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Database Director,FTE,Hour,UK-LON,180.0,180.0,GBP,OP_Content Lab,Exact Rate Match,76.6,N,
Database,Database Director,FTE,Hour,EU-ES,155.0,155.0,EUR,OP_Content Lab,Exact Rate Match,65.96,N,
Database,Database Director,FTE,Hour,EU-FR,200.0,200.0,EUR,OP_Content Lab,Exact Rate Match,85.11,N,
Database,Database Director,FTE,Hour,EU-DE,210.0,210.0,EUR,OP_Content Lab,Exact Rate Match,89.36,O,
Database,Database Director,FTE,Hour,EU-IT,145.0,145.0,EUR,OP_Content Lab,Exact Rate Match,61.7,N,
Database,Database Director,FTE,Hour,LATAM-BR,790.0,790.0,BRL,OP_Content Lab,Exact Rate Match,336.17,O,
Database,Database Director,FTE,Hour,APAC-CN,815.0,815.0,CNY,OP_Content Lab,Exact Rate Match,346.81,O,
Database,Database Director,FTE,Hour,NA-CA,177.0,177.0,CAD,OP_Content Lab,Exact Rate Match,75.32,N,
Database,Database Director,FTE,Hour,EU-CH,210.0,210.0,CHF,OP_Content Lab,Exact Rate Match,89.36,O,
Database,Database Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Database Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Database Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Database Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Database Manager,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Database,Database Manager,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Database,Database Manager,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Database Manager,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Database Manager,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Database Manager,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match,246.81,O,
Database,Database Manager,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match,329.79,O,
Database,Database Manager,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match,51.91,M,
Database,Database Manager,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Database Manager,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Database Manager,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Database Manager,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Database Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Digital Programmer,FTE,Hour,UK-LON,80.0,80.0,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Database,Digital Programmer,FTE,Hour,EU-ES,80.0,80.0,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Database,Digital Programmer,FTE,Hour,EU-FR,115.0,115.0,EUR,OP_Content Lab,Exact Rate Match,48.94,M,
Database,Digital Programmer,FTE,Hour,EU-DE,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Digital Programmer,FTE,Hour,EU-IT,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Database,Digital Programmer,FTE,Hour,LATAM-BR,420.0,420.0,BRL,OP_Content Lab,Exact Rate Match,178.72,O,
Database,Digital Programmer,FTE,Hour,APAC-CN,630.0,630.0,CNY,OP_Content Lab,Exact Rate Match,268.09,O,
Database,Digital Programmer,FTE,Hour,NA-CA,118.0,118.0,CAD,OP_Content Lab,Exact Rate Match,50.21,M,
Database,Digital Programmer,FTE,Hour,EU-CH,120.0,120.0,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Digital Programmer,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Digital Programmer,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Digital Programmer,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Digital Programmer,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Digital Technical Director,FTE,Hour,UK-LON,110.0,110.0,GBP,OP_Content Lab,Exact Rate Match,46.81,M,
Database,Digital Technical Director,FTE,Hour,EU-ES,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Digital Technical Director,FTE,Hour,EU-FR,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Database,Digital Technical Director,FTE,Hour,EU-DE,150.0,150.0,EUR,OP_Content Lab,Exact Rate Match,63.83,N,
Database,Digital Technical Director,FTE,Hour,EU-IT,127.0,127.0,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Database,Digital Technical Director,FTE,Hour,LATAM-BR,640.0,640.0,BRL,OP_Content Lab,Exact Rate Match,272.34,O,
Database,Digital Technical Director,FTE,Hour,APAC-CN,710.0,710.0,CNY,OP_Content Lab,Exact Rate Match,302.13,O,
Database,Digital Technical Director,FTE,Hour,NA-CA,145.0,145.0,CAD,OP_Content Lab,Exact Rate Match,61.7,N,
Database,Digital Technical Director,FTE,Hour,EU-CH,150.0,150.0,CHF,OP_Content Lab,Exact Rate Match,63.83,N,
Database,Digital Technical Director,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Digital Technical Director,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Digital Technical Director,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Digital Technical Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Senior Data Analyst,FTE,Hour,UK-LON,80.0,80.0,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Database,Senior Data Analyst,FTE,Hour,EU-ES,80.0,80.0,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Database,Senior Data Analyst,FTE,Hour,EU-FR,115.0,115.0,EUR,OP_Content Lab,Exact Rate Match,48.94,M,
Database,Senior Data Analyst,FTE,Hour,EU-DE,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Senior Data Analyst,FTE,Hour,EU-IT,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Database,Senior Data Analyst,FTE,Hour,LATAM-BR,420.0,420.0,BRL,OP_Content Lab,Exact Rate Match,178.72,O,
Database,Senior Data Analyst,FTE,Hour,APAC-CN,630.0,630.0,CNY,OP_Content Lab,Exact Rate Match,268.09,O,
Database,Senior Data Analyst,FTE,Hour,NA-CA,118.0,118.0,CAD,OP_Content Lab,Exact Rate Match,50.21,M,
Database,Senior Data Analyst,FTE,Hour,EU-CH,120.0,120.0,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Senior Data Analyst,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Senior Data Analyst,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Senior Data Analyst,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Senior Data Analyst,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Senior Digital Producer,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Database,Senior Digital Producer,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Database,Senior Digital Producer,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Senior Digital Producer,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Senior Digital Producer,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Senior Digital Producer,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match,246.81,O,
Database,Senior Digital Producer,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match,329.79,O,
Database,Senior Digital Producer,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match,51.91,M,
Database,Senior Digital Producer,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Senior Digital Producer,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Senior Digital Producer,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Senior Digital Producer,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Senior Digital Producer,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Systems Engineer,FTE,Hour,UK-LON,95.0,95.0,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Database,Systems Engineer,FTE,Hour,EU-ES,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Database,Systems Engineer,FTE,Hour,EU-FR,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Systems Engineer,FTE,Hour,EU-DE,140.0,140.0,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Systems Engineer,FTE,Hour,EU-IT,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Systems Engineer,FTE,Hour,LATAM-BR,580.0,580.0,BRL,OP_Content Lab,Exact Rate Match,246.81,O,
Database,Systems Engineer,FTE,Hour,APAC-CN,775.0,775.0,CNY,OP_Content Lab,Exact Rate Match,329.79,O,
Database,Systems Engineer,FTE,Hour,NA-CA,122.0,122.0,CAD,OP_Content Lab,Exact Rate Match,51.91,M,
Database,Systems Engineer,FTE,Hour,EU-CH,140.0,140.0,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Database,Systems Engineer,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Systems Engineer,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Systems Engineer,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Systems Engineer,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Database,Technical Programmer,FTE,Hour,UK-LON,80.0,80.0,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Database,Technical Programmer,FTE,Hour,EU-ES,80.0,80.0,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Database,Technical Programmer,FTE,Hour,EU-FR,115.0,115.0,EUR,OP_Content Lab,Exact Rate Match,48.94,M,
Database,Technical Programmer,FTE,Hour,EU-DE,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Technical Programmer,FTE,Hour,EU-IT,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Database,Technical Programmer,FTE,Hour,LATAM-BR,420.0,420.0,BRL,OP_Content Lab,Exact Rate Match,178.72,O,
Database,Technical Programmer,FTE,Hour,APAC-CN,630.0,630.0,CNY,OP_Content Lab,Exact Rate Match,268.09,O,
Database,Technical Programmer,FTE,Hour,NA-CA,118.0,118.0,CAD,OP_Content Lab,Exact Rate Match,50.21,M,
Database,Technical Programmer,FTE,Hour,EU-CH,120.0,120.0,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Database,Technical Programmer,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Database,Technical Programmer,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Database,Technical Programmer,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Database,Technical Programmer,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Editorial,Director Editorial Services,FTE,Hour,UK-LON,200.0,200.0,GBP,OP_Content Lab,Exact Rate Match,85.11,N,
Editorial,Director Editorial Services,FTE,Hour,EU-ES,165.0,165.0,EUR,OP_Content Lab,Exact Rate Match,70.21,N,
Editorial,Director Editorial Services,FTE,Hour,EU-FR,220.0,220.0,EUR,OP_Content Lab,Exact Rate Match,93.62,O,
Editorial,Director Editorial Services,FTE,Hour,EU-DE,225.0,225.0,EUR,OP_Content Lab,Exact Rate Match,95.74,O,
Editorial,Director Editorial Services,FTE,Hour,EU-IT,175.0,175.0,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Editorial,Director Editorial Services,FTE,Hour,LATAM-BR,875.0,875.0,BRL,OP_Content Lab,Exact Rate Match,372.34,O,
Editorial,Director Editorial Services,FTE,Hour,APAC-CN,1325.0,1325.0,CNY,OP_Content Lab,Exact Rate Match,563.83,O,
Editorial,Director Editorial Services,FTE,Hour,NA-CA,195.0,195.0,CAD,OP_Content Lab,Exact Rate Match,82.98,N,
Editorial,Director Editorial Services,FTE,Hour,EU-CH,225.0,225.0,CHF,OP_Content Lab,Exact Rate Match,95.74,O,
Editorial,Director Editorial Services,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Editorial,Director Editorial Services,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Editorial,Director Editorial Services,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Editorial,Director Editorial Services,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Editorial,Editor,FTE,Hour,UK-LON,80.0,80.0,GBP,OP_Content Lab,Exact Rate Match,34.04,K,
Editorial,Editor,FTE,Hour,EU-ES,80.0,80.0,EUR,OP_Content Lab,Exact Rate Match,34.04,K,
Editorial,Editor,FTE,Hour,EU-FR,115.0,115.0,EUR,OP_Content Lab,Exact Rate Match,48.94,M,
Editorial,Editor,FTE,Hour,EU-DE,120.0,120.0,EUR,OP_Content Lab,Exact Rate Match,51.06,M,
Editorial,Editor,FTE,Hour,EU-IT,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Editorial,Editor,FTE,Hour,LATAM-BR,420.0,420.0,BRL,OP_Content Lab,Exact Rate Match,178.72,O,
Editorial,Editor,FTE,Hour,APAC-CN,630.0,630.0,CNY,OP_Content Lab,Exact Rate Match,268.09,O,
Editorial,Editor,FTE,Hour,NA-CA,118.0,118.0,CAD,OP_Content Lab,Exact Rate Match,50.21,M,
Editorial,Editor,FTE,Hour,EU-CH,120.0,120.0,CHF,OP_Content Lab,Exact Rate Match,51.06,M,
Editorial,Editor,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Editorial,Editor,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Editorial,Editor,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Editorial,Editor,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Editorial,Junior Editor,FTE,Hour,UK-LON,75.0,75.0,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Editorial,Junior Editor,FTE,Hour,EU-ES,75.0,75.0,EUR,OP_Content Lab,Exact Rate Match,31.91,K,
Editorial,Junior Editor,FTE,Hour,EU-FR,100.0,100.0,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Editorial,Junior Editor,FTE,Hour,EU-DE,95.0,95.0,EUR,OP_Content Lab,Exact Rate Match,40.43,L,
Editorial,Junior Editor,FTE,Hour,EU-IT,90.0,90.0,EUR,OP_Content Lab,Exact Rate Match,38.3,L,
Editorial,Junior Editor,FTE,Hour,LATAM-BR,375.0,375.0,BRL,OP_Content Lab,Exact Rate Match,159.57,O,
Editorial,Junior Editor,FTE,Hour,APAC-CN,510.0,510.0,CNY,OP_Content Lab,Exact Rate Match,217.02,O,
Editorial,Junior Editor,FTE,Hour,NA-CA,95.0,95.0,CAD,OP_Content Lab,Exact Rate Match,40.43,L,
Editorial,Junior Editor,FTE,Hour,EU-CH,95.0,95.0,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Editorial,Junior Editor,FTE,Hour,APAC-IN,30.0,30.0,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Editorial,Junior Editor,FTE,Hour,APAC-CN-USD,42.0,42.0,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Editorial,Junior Editor,FTE,Hour,LATAM-MX,45.0,45.0,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Editorial,Junior Editor,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
